plate_number,entry_time,exit_time,status,type
MUA11AQ1114,2026-04-23 01:39:26.612358,,IN,UNKNOWN
MH11AQ1111,2026-04-23 01:39:29.072213,2026-04-23 01:39:39.651101,OUT,WHITELIST
MATTAQTIT,2026-04-23 01:39:35.566687,,IN,UNKNOWN
LMH11AQ1111,2026-04-23 01:39:36.279862,2026-04-23 01:39:53.321346,OUT,UNKNOWN
MH11AC,2026-04-23 01:39:36.890389,,IN,UNKNOWN
MHITTAG,2026-04-23 01:39:37.587955,,IN,UNKNOWN
MT1AQ11,2026-04-23 01:39:38.260875,,IN,UNKNOWN
MH11AQ1111L,2026-04-23 01:39:38.934112,,IN,UNKNOWN
MH11AQ111,2026-04-23 01:39:45.213674,2026-04-23 01:39:54.023643,OUT,UNKNOWN
H11AQ1111,2026-04-23 01:39:48.446337,,IN,UNKNOWN
LMH11AQI114J,2026-04-23 01:39:49.131411,,IN,UNKNOWN
MAITIAQTITI,2026-04-23 01:39:49.855589,,IN,UNKNOWN
MRBITITAQIIT,2026-04-23 01:39:50.493011,,IN,UNKNOWN
MAH11AQ111,2026-04-23 01:39:51.916354,,IN,UNKNOWN
WIFPEPAAE,2026-04-23 01:39:55.897836,,IN,UNKNOWN
MH11AQ1111,2026-04-23 01:39:57.480851,2026-04-23 01:42:38.810312,OUT,WHITELIST
MH11AQ11,2026-04-23 01:40:02.817381,2026-04-23 01:42:39.610472,OUT,UNKNOWN
MH11AQ1,2026-04-23 01:40:03.509246,2026-04-23 02:44:26.327610,OUT,UNKNOWN
MH11AQ,2026-04-23 01:40:05.004443,,IN,UNKNOWN
IKAG2KP9657,2026-04-23 01:41:02.555592,,IN,UNKNOWN
KAGMPO65,2026-04-23 01:41:03.388887,,IN,UNKNOWN
RAUZHP657,2026-04-23 01:41:07.330793,,IN,UNKNOWN
MLKAGZHP,2026-04-23 01:41:08.006563,,IN,UNKNOWN
KAG2MP,2026-04-23 01:41:08.665096,2026-04-23 01:41:24.698347,OUT,UNKNOWN
KAG2MP96575,2026-04-23 01:41:09.418358,,IN,UNKNOWN
URAG2MP9657,2026-04-23 01:41:10.170046,,IN,UNKNOWN
PRAGZMP9657,2026-04-23 01:41:10.839333,2026-04-23 03:04:05.229988,OUT,UNKNOWN
KAG2MP9657,2026-04-23 01:41:11.478974,2026-04-23 01:41:14.295166,OUT,UNKNOWN
KAG2MP96577,2026-04-23 01:41:12.852285,,IN,UNKNOWN
G2MP9657,2026-04-23 01:41:13.632817,2026-04-23 02:35:35.424844,OUT,UNKNOWN
KAG2HP9657S,2026-04-23 01:41:14.942816,,IN,UNKNOWN
IKAG2MP9657S,2026-04-23 01:41:15.668899,,IN,UNKNOWN
IKAG2MP9657,2026-04-23 01:41:16.388200,2026-04-23 01:41:19.857938,OUT,UNKNOWN
KAG2MP9657,2026-04-23 01:41:17.104286,2026-04-23 01:41:18.448291,OUT,UNKNOWN
KAGZMP9657,2026-04-23 01:41:17.745784,,IN,UNKNOWN
KAG2MP9657,2026-04-23 01:41:20.558300,2026-04-23 01:41:23.268220,OUT,UNKNOWN
KG2MP9657,2026-04-23 01:41:21.845587,,IN,UNKNOWN
IKAG2MP9657,2026-04-23 01:41:22.600791,2026-04-23 01:41:23.957971,OUT,UNKNOWN
U2HP96,2026-04-23 01:41:27.646529,,IN,UNKNOWN
KAG2MP9657,2026-04-23 01:41:29.356192,2026-04-23 01:41:30.846242,OUT,UNKNOWN
URAG2MPO657,2026-04-23 01:41:30.105746,,IN,UNKNOWN
URAG2MP,2026-04-23 01:42:06.960365,,IN,UNKNOWN
UKAG2MP9657,2026-04-23 01:42:14.968531,2026-04-23 03:04:02.540426,OUT,UNKNOWN
MH11AQ111,2026-04-23 01:42:40.412341,2026-04-23 01:42:44.132422,OUT,UNKNOWN
MHTAQTI,2026-04-23 01:42:43.443363,,IN,UNKNOWN
MHITAQTN,2026-04-23 01:42:44.765694,,IN,UNKNOWN
MKACZMP96,2026-04-23 01:42:54.681123,,IN,UNKNOWN
KAU2MP96975,2026-04-23 01:43:26.513783,,IN,UNKNOWN
LG2MPE55,2026-04-23 01:43:27.850197,,IN,UNKNOWN
KAGZMPC6S7,2026-04-23 01:43:32.395392,,IN,UNKNOWN
KAG2MP9657,2026-04-23 01:43:33.129073,2026-04-23 01:43:36.015231,OUT,UNKNOWN
YKAG2MP96575,2026-04-23 01:43:34.583850,,IN,UNKNOWN
MKAGZMP9657,2026-04-23 01:43:35.338930,,IN,UNKNOWN
IKG2MP9657,2026-04-23 01:43:36.653748,,IN,UNKNOWN
KAG2MP9657,2026-04-23 01:43:37.297821,2026-04-23 01:43:40.667004,OUT,UNKNOWN
LKAG2MP9657,2026-04-23 01:43:39.408696,2026-04-23 01:43:41.982575,OUT,UNKNOWN
KAG2MP9657,2026-04-23 01:43:43.343679,2026-04-23 01:43:46.274347,OUT,UNKNOWN
KAG2MP9652,2026-04-23 01:43:45.525518,,IN,UNKNOWN
IKAGMP9657,2026-04-23 02:35:05.223594,,IN,UNKNOWN
LUZH7IY,2026-04-23 02:35:19.566325,,IN,UNKNOWN
KAG2MP965,2026-04-23 02:35:20.342180,2026-04-23 03:12:28.606371,OUT,UNKNOWN
IKAG2MP9657,2026-04-23 02:35:24.276892,2026-04-23 02:36:19.742635,OUT,UNKNOWN
IKAG2MP96574,2026-04-23 02:35:39.974806,,IN,UNKNOWN
KAG2MP9657,2026-04-23 02:35:42.189866,2026-04-23 02:35:47.914998,OUT,UNKNOWN
KAG2MP9,2026-04-23 02:35:45.424347,,IN,UNKNOWN
JUNF357,2026-04-23 02:35:54.204498,,IN,UNKNOWN
G2MP9657,2026-04-23 02:35:54.835938,2026-04-23 02:44:09.626173,OUT,UNKNOWN
HKG2MP9,2026-04-23 02:35:57.349988,,IN,UNKNOWN
AUMP965,2026-04-23 02:36:00.216100,,IN,UNKNOWN
TKAG2MP9657,2026-04-23 02:36:03.609476,,IN,UNKNOWN
KAGEHPDT,2026-04-23 02:36:04.334623,,IN,UNKNOWN
TITKAGOMP9SP,2026-04-23 02:36:11.935167,,IN,UNKNOWN
KAG2MP9657,2026-04-23 02:36:17.151141,2026-04-23 02:36:21.004467,OUT,UNKNOWN
KAGOHP9657173,2026-04-23 02:36:19.046682,,IN,UNKNOWN
IAG2MP9657,2026-04-23 02:36:22.890568,,IN,UNKNOWN
KAG2MP9657,2026-04-23 02:36:23.540476,,IN,UNKNOWN
S0057KACDMP9ES7,2026-04-23 02:36:26.073212,,IN,UNKNOWN
IKG2MP,2026-04-23 02:36:26.716119,,IN,UNKNOWN
2G2MP9657,2026-04-23 02:44:10.384801,,IN,UNKNOWN
KAG2MP9657S,2026-04-23 02:44:13.557611,,IN,UNKNOWN
IKAG2MP9657,2026-04-23 02:44:14.317603,,IN,UNKNOWN
KAG2HP9657,2026-04-23 02:44:16.558956,,IN,UNKNOWN
7KAG2HP9657,2026-04-23 02:44:18.207715,,IN,UNKNOWN
MATTAQTI,2026-04-23 02:44:26.999881,,IN,UNKNOWN
MIFTTTAQTI,2026-04-23 02:44:28.641165,,IN,UNKNOWN
VEMH11AQ111,2026-04-23 02:44:30.024833,,IN,UNKNOWN
MH11AQ11,2026-04-23 02:44:30.728899,,IN,UNKNOWN
VEMH11AQ11,2026-04-23 02:44:31.373464,,IN,UNKNOWN
MARTAQUTT,2026-04-23 02:44:42.349759,,IN,UNKNOWN
MHT1AQIINY7,2026-04-23 02:44:43.275302,,IN,UNKNOWN
MH11AQ1111I,2026-04-23 02:44:44.064874,,IN,UNKNOWN
MH11AQ1111JV,2026-04-23 02:44:45.399608,,IN,UNKNOWN
MHI1AQ1111V7,2026-04-23 02:44:46.858700,,IN,UNKNOWN
TARRLTAQT114,2026-04-23 02:44:47.530257,,IN,UNKNOWN
MABLIAQTITGI,2026-04-23 02:44:48.776267,,IN,UNKNOWN
MAHTIAQIIV,2026-04-23 02:44:49.407369,,IN,UNKNOWN
MH11AQ1111,2026-04-23 02:44:59.828102,,IN,WHITELIST
KA2MP9657,2026-04-23 03:04:01.928605,,IN,UNKNOWN
RAUCHE2O7,2026-04-23 03:04:03.886244,,IN,UNKNOWN
KAG2MP,2026-04-23 03:04:06.176054,2026-04-23 03:04:15.161589,OUT,UNKNOWN
UKAG2MP9657,2026-04-23 03:04:06.846210,,IN,UNKNOWN
G2MP9657S,2026-04-23 03:04:13.029473,,IN,UNKNOWN
LEG2MP9657,2026-04-23 03:04:14.461289,,IN,UNKNOWN
COMPSS,2026-04-23 03:06:10.666168,,IN,UNKNOWN
G2MP0657,2026-04-23 03:06:12.737611,,IN,UNKNOWN
RAG2MP9657,2026-04-23 03:06:19.826280,,IN,UNKNOWN
G2MP9657,2026-04-23 03:06:22.366232,,IN,UNKNOWN
UKAG2NP9659,2026-04-23 03:06:35.573363,,IN,UNKNOWN
KAG2MP0657,2026-04-23 03:06:36.800558,,IN,UNKNOWN
FG2MP965,2026-04-23 03:12:14.862164,,IN,UNKNOWN
IKAG2MP965,2026-04-23 03:12:29.685040,,IN,UNKNOWN
LKAG2MP9657,2026-04-23 03:12:30.646796,,IN,UNKNOWN
AUCMPJ,2026-04-23 03:12:35.274591,,IN,UNKNOWN
AG2MP96577,2026-04-23 03:12:35.968303,,IN,UNKNOWN
G2MP2F,2026-04-23 03:27:22.836733,,IN,UNKNOWN
UUCEMF709,2026-04-23 03:27:24.007084,,IN,UNKNOWN
TAUCR70,2026-04-23 03:27:24.703719,,IN,UNKNOWN
GCUCRIFJOO94,2026-04-23 03:27:25.906452,,IN,UNKNOWN
LLVASI,2026-04-23 03:27:26.586227,,IN,UNKNOWN
KAG2MP,2026-04-23 03:27:29.112989,,IN,UNKNOWN
PTKAG2MP5,2026-04-23 03:27:34.036454,,IN,UNKNOWN
G2HP9657,2026-04-23 03:27:36.958106,,IN,UNKNOWN
CAG2MP06577,2026-04-23 03:27:37.925149,,IN,UNKNOWN
USAG2HP9657,2026-04-23 03:27:39.795722,,IN,UNKNOWN
OTKAG2ME657S,2026-04-23 03:27:41.689266,,IN,UNKNOWN
UKAGZMP9657,2026-04-23 03:27:42.590472,,IN,UNKNOWN
AG2MP9657,2026-04-23 03:27:43.314132,,IN,UNKNOWN
KAG2NP9657,2026-04-23 03:27:43.997750,,IN,UNKNOWN
2MP9657,2026-04-23 03:27:45.396791,,IN,UNKNOWN
CPPLTAT,2026-04-23 03:27:46.144465,,IN,UNKNOWN
KAG29659,2026-04-23 03:27:54.791992,,IN,UNKNOWN
KAG2HP9657J,2026-04-23 03:28:14.958602,,IN,UNKNOWN
